country;central_bank;wikipedia_bank_url;source_type;source_label;wiki_name;cargo;start_year;end_year
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Sir Henry Sheehan;Governor;1938;1941
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Hugh Armitage;Governor;1941;1948
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;H. C. Coombs;Governor;1949;1960
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;H. C. Coombs;Governor;1960;1968
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Sir J. G. Phillips;Governor;1968;1975
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Sir H. M. Knight;Governor;1975;1982
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Bob Johnston;Governor;1982;1989
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Bernie Fraser;Governor;1989;1996
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Ian Macfarlane;Governor;1996;2006
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Glenn Stevens;Governor;2006;2016
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Philip Lowe;Governor;2016;2023
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;Michele Bullock;Governor;2023;
Austria;European Central Bank ( Oesterreichische Nationalbank );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;Christine Lagarde;Board Member;;
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;Cavanşir Abdullayev;Governor;1992;1993
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;Qalib Ağayev;Governor;1993;1994
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;Elman Rustamov;Governor;1995;2022
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;Taleh Kazimov;Governor;2022;Incumbent
Bahamas;Central Bank of The Bahamas;https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas;infobox;Governor;John A Rolle;Governor;;
Bahrain;Central Bank of Bahrain;https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain;infobox;Key people;Khalid Humaidan;Board Member;;
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Governor;Md Mostaqur Rahman;Governor;;
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Key people;Nurun Nahar;Board Member;;
Barbados;Central Bank of Barbados;https://en.wikipedia.org/wiki/Central_Bank_of_Barbados;infobox;Governor;Kevin Greenidge;Governor;;
Belarus;National Bank of the Republic of Belarus;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus;infobox;Chairman;Roman Golovchenko;Chair;;
Belgium;European Central Bank ( National Bank of Belgium );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;Christine Lagarde;Board Member;;
Belize;Central Bank of Belize;https://en.wikipedia.org/wiki/Central_Bank_of_Belize;infobox;Governor;Kareem Michael;Governor;;
Benin;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;infobox;Governor;Jean-Claude Brou;Governor;;
Bermuda;Bermuda Monetary Authority;https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority;infobox;Chairman;Donald Scott;Chair;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Ms. Ugyen Choden;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Kelang Jurmey;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Ms. Gopi Nepal;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Ms. Tshering Dema;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Tashi Gyeltshen;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Sherab Jamtsho;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Sonam Tobgay;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Shankar Chhetri;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Sonam Tobgay Tshering;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Dophu Dorji;Governor;;
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;Mr. Sangay Paljor;Governor;;
Bolivia;Central Bank of Bolivia;https://en.wikipedia.org/wiki/Central_Bank_of_Bolivia;infobox;President;Roger Edwin Rojas Ulo;President;;
Bosnia and Herzegovina;Central Bank of Bosnia and Herzegovina;https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina;infobox;Governor;Jasmina Selimović;Governor;;
Botswana;Bank of Botswana;https://en.wikipedia.org/wiki/Bank_of_Botswana;infobox;Governor;Cornelius Karlens Dekop;Governor;;
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Dênio Chagas Nogueira;President;1965;1967
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Rui Aguiar da Silva Leme;President;1967;1968
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Ary Burger Acting;President;1968;1968
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Ernane Galvêas;President;1968;1974
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Paulo Hortêncio Pereira Lima;President;1974;1979
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Carlos Brandão;President;1979;1979
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Ernane Galvêas;President;1979;1980
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Carlos Geraldo Langoni;President;1980;1983
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Affonso Celso Pastore;President;1983;1985
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Antônio Carlos Lemgruber;President;1985;1985
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Fernando Carlos Bracher;President;1985;1987
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Francisco Gros;President;1987;1987
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Lycio de Faria;President;1987;1987
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Fernando Milliet;President;1987;1988
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Elmo de Araújo Camões;President;1988;1989
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Wadico Waldir Bucchi;President;1989;1990
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Ibrahim Eris;President;1990;1991
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Francisco Gros;President;1991;1992
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Gustavo Loyola;President;1992;1993
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Paulo César Ximenes;President;1993;1993
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Pedro Malan;President;1993;1995
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Gustavo Franco;President;1995;1995
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Pérsio Arida;President;1995;1995
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Gustavo Loyola;President;1995;1997
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Gustavo Franco;President;1997;1999
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Armínio Fraga;President;1999;2003
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Henrique Meirelles;President;2003;2011
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Alexandre Tombini;President;2011;2016
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Ilan Goldfajn;President;2016;2019
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;Roberto Campos Neto;President;2019;2021
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Elected during | Under Autonomous Election;Roberto Campos Neto;President;2021;2024
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Elected during | Under Autonomous Election;Gabriel Galípolo;President;2025;Incumbent
Brunei;Brunei Darussalam Central Bank;https://en.wikipedia.org/wiki/Brunei_Darussalam_Central_Bank;infobox;Chairman;Khairuddin Abdul Hamid;Chair;;
Bulgaria;European Central Bank ( Bulgarian National Bank );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;Christine Lagarde;Board Member;;
Burkina Faso;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;infobox;Governor;Jean-Claude Brou;Governor;;
Burundi;Bank of the Republic of Burundi;https://en.wikipedia.org/wiki/Bank_of_the_Republic_of_Burundi;infobox;Governor;Édouard Normand Bigendako;Governor;;
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Son Sann;Governor;1955;1969
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Touch Kim;Governor;1969;1970
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Hing Kunthel;Governor;1970;1972
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Sok Chhong;Governor;1972;1974
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Kem Nguon Trach;Governor;1974;1975
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Chan Phin;Governor;1979;1981
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Cha Rieng;Governor;1981;1993
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Thor Peng Leath;Governor;1993;1998
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Chea Chanto;Governor;1998;2023
Cambodia;National Bank of Cambodia;https://en.wikipedia.org/wiki/National_Bank_of_Cambodia;wikitable;List of governors | No. Name Term | Board of directors;Chea Serey;Governor;2023;Incumbent
Cameroon;Bank of Central African States;https://en.wikipedia.org/wiki/Bank_of_Central_African_States;infobox;Governor;Yvon Sana Bangui;Governor;;
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Graham Towers;Governor;1934;1954
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;James Coyne;Governor;1955;1961
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Louis Rasminsky;Governor;1961;1973
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Gerald Bouey;Governor;1973;1987
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;John Crow;Governor;1987;1994
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Gordon Thiessen;Governor;1994;2001
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;David A. Dodge;Governor;2001;2008
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Mark Carney;Governor;2008;2013
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Stephen S. Poloz;Governor;2013;2020
Canada;Bank of Canada;https://en.wikipedia.org/wiki/Bank_of_Canada;wikitable;List of governors | No. Name Term | Governor;Tiff Macklem;Governor;2020;Incumbent
Cape Verde;Bank of Cape Verde;https://en.wikipedia.org/wiki/Bank_of_Cape_Verde;infobox;Governor;Óscar Humberto Évora Santos;Governor;;
Cayman Islands;Cayman Islands Monetary Authority;https://en.wikipedia.org/wiki/Cayman_Islands_Monetary_Authority;infobox;Chairman;Grant Stein;Chair;;
Central African Republic;Bank of Central African States;https://en.wikipedia.org/wiki/Bank_of_Central_African_States;infobox;Governor;Yvon Sana Bangui;Governor;;
Chad;Bank of Central African States;https://en.wikipedia.org/wiki/Bank_of_Central_African_States;infobox;Governor;Yvon Sana Bangui;Governor;;
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Ismael Tocornal Tocornal;Governor;1926;1929
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Emiliano Figueroa;Governor;1929;1931
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Francisco Garcés Gana;Governor;1931;1932
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Armando Jaramillo Valderrama;Governor;1932;1933
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Guillermo Subercaseaux Pérez;Governor;1933;1939
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Marcial Mora Miranda;Governor;1939;1940
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Enrique Oyarzún Mondaca;Governor;1940;1946
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Manuel Trucco Franzani;Governor;1946;1951
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Arturo Maschke Tornero;Governor;1953;1959
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Eduardo Figueroa Geisse;Governor;1959;1961
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Luis Mackenna Shiell;Governor;1962;1964
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Sergio Molina Silva;Governor;1964;1967
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Carlos Massad Abud;Governor;1967;1970
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Alfonso Inostroza Cuevas;Governor;1970;1973
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Carlos Matus Romo;Governor;1973;1973
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Eduardo Cano Quijada;Governor;1973;1975
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Pablo Baraona Urzúa;Governor;1975;1976
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Alvaro Bardón Muñoz;Governor;1977;1981
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Sergio de la Cuadra Fabres;Governor;1981;1982
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Miguel Kast Rist;Governor;1982;1982
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Carlos Cáceres Contreras;Governor;1982;1983
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Hernán Felipe Errázuriz Correa;Governor;1983;1984
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Francisco Ibáñez Barceló;Governor;1984;1985
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Enrique Seguel Morel;Governor;1985;1989
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Manuel Concha Martínez;Governor;1989;1989
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Andrés Bianchi Larre;Governor;1989;1991
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Roberto Zahler Mayanz;Governor;1991;1996
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Carlos Massad Abud;Governor;1996;2003
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;Vittorio Corbo Lioi;Governor;2003;2007
