country,central_bank_name,status,name,role,period
Chile,Central Bank of Chile,current,Claudio Soto,Consejero,2023-2033
Chile,Central Bank of Chile,historical,Mario Marcel C.,Presidente,2016-2022
Chile,Central Bank of Chile,historical,Pablo García S.,Consejero,2014-2022
Chile,Central Bank of Chile,historical,Joaquín Vial R.,Consejero,2014-2022
Chile,Central Bank of Chile,historical,Rodrigo Vergara M.,Presidente,2011-2016
Chile,Central Bank of Chile,historical,José De Gregorio R.,Presidente,2007-2011
Chile,Central Bank of Chile,historical,Vittorio Corbo L.,Presidente,2003-2007
Chile,Central Bank of Chile,historical,Carlos Massad A.,Presidente,1996-2003
Chile,Central Bank of Chile,historical,Roberto Zahler B.,Presidente,1991-1996
Chile,Central Bank of Chile,historical,Enrique Seguel M.,Presidente,1989-1991
Chile,Central Bank of Chile,historical,Hernán Felipe Errázuriz C.,Presidente,1983-1989
Chile,Central Bank of Chile,historical,Juan Andrés Fontaine T.,Consejero,2010-2019
Chile,Central Bank of Chile,historical,Manuel Marfán L.,Vicepresidente,2007-2009
Chile,Central Bank of Chile,historical,Jorge Desormeaux J.,Vicepresidente,2003-2007
Chile,Central Bank of Chile,historical,José Pablo Arellano M.,Consejero,1996-2006
Chile,Central Bank of Chile,historical,Jorge Cauas L.,Consejero,1989-1999
Colombia,Bank of the Republic,current,Leonardo Villar Gómez,Gerente General,2021-present
Colombia,Bank of the Republic,current,Ricardo Bonilla González,Ministro de Hacienda y Crédito Público,2023-present
Colombia,Bank of the Republic,current,Martha Elena Pinto de De Hart,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,current,Mauricio Villamizar Villegas,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,current,Bibiana Taboada Arango,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,current,Jaime Jaramillo Vallejo,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,current,Olga Lucía Acosta Guzmán,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,current,Luis Fernando Mejía Alzate,Miembro de la Junta Directiva,2021-present
Colombia,Bank of the Republic,historical,Juan José Echavarría Soto,Gerente General,2017-2021
Colombia,Bank of the Republic,historical,José Darío Uribe Escobar,Gerente General,2005-2017
Colombia,Bank of the Republic,historical,Miguel Urrutia Montoya,Gerente General,1993-2005
Colombia,Bank of the Republic,historical,Francisco J. Ortega Acosta,Gerente General,1982-1993
Colombia,Bank of the Republic,historical,Rafael Gama Quijano,Gerente General,1973-1982
Colombia,Bank of the Republic,historical,Germán Botero de los Ríos,Gerente General,1970-1973
Colombia,Bank of the Republic,historical,Antonio Álvarez Restrepo,Gerente General,1961-1970
Colombia,Bank of the Republic,historical,Ignacio Copete Lizarralde,Gerente General,1957-1961
Colombia,Bank of the Republic,historical,Luis Ángel Arango,Gerente General,1947-1957
Colombia,Bank of the Republic,historical,Julio Caro,Gerente General,1927-1947
Colombia,Bank of the Republic,historical,Félix Salazar Jaramillo,Gerente General,1923-1927
Costa Rica,Central Bank of Costa Rica,current,Roger Madrigal López,Presidente,Current
Costa Rica,Central Bank of Costa Rica,current,Hazel Valverde Richmond,Vicepresidenta,Current
Costa Rica,Central Bank of Costa Rica,current,Martha Cubillo Jiménez,Directora,Current
Costa Rica,Central Bank of Costa Rica,current,Fanny Villalobos Tenorio,Directora,Current
Costa Rica,Central Bank of Costa Rica,current,Jorge Benavides Poveda,Director,Current
Costa Rica,Central Bank of Costa Rica,current,Luis Carlos Delgado Murillo,Director,Current
Costa Rica,Central Bank of Costa Rica,current,Elizabeth Doña Grijalba,Directora,Current
Costa Rica,Central Bank of Costa Rica,historical,Rodrigo Cubero Brealey,Presidente,2018-2022
Costa Rica,Central Bank of Costa Rica,historical,Olivier Castro Pérez,Presidente,2014-2018
Costa Rica,Central Bank of Costa Rica,historical,Rodrigo Bolaños Zamora,Presidente,2010-2014
Costa Rica,Central Bank of Costa Rica,historical,Francisco de Paula Gutiérrez,Presidente,2004-2010
Cuba,Central Bank of Cuba,current,Juana Lilia Delgado Portal,Presidenta,current
Cuba,Central Bank of Cuba,current,Francisco Mayoral García,Vicepresidente Primero,current
Cuba,Central Bank of Cuba,current,Yamile Berra Cires,Vicepresidenta,current
Cuba,Central Bank of Cuba,current,Alberto Quiñones Betancourt,Vicepresidente,current
Cuba,Central Bank of Cuba,current,Luis Enrique Frómeta Hernández,Vicepresidente,current
Cuba,Central Bank of Cuba,current,Carlos Luis Valdés Valdés,Vicepresidente,current
Cuba,Central Bank of Cuba,current,Vladimir Regueiro Ale,Vicepresidente,current
Cuba,Central Bank of Cuba,historical,Irma Margarita Martínez Naranjo,Presidenta,2017-2023
Cuba,Central Bank of Cuba,historical,Ernesto Medina Villaveirán,Presidente,2009-2017
Cuba,Central Bank of Cuba,historical,Francisco Soberón Valdés,Presidente,1997-2009
Ecuador,Central Bank of Ecuador,current,Juan Carlos Vega Malo,Minister of Economy and Finance (President of the JPRMF),Jan 2024 - Present
Ecuador,Central Bank of Ecuador,current,Andrés Isch,Secretary of National Planning,Nov 2023 - Present
Ecuador,Central Bank of Ecuador,current,Sonsoles García,"Minister of Production, Foreign Trade, Investments and Fisheries",Nov 2023 - Present
Ecuador,Central Bank of Ecuador,current,Zaida Rovira,Minister of Economic and Social Inclusion,Nov 2023 - Present
Ecuador,Central Bank of Ecuador,historical,Luis Napoleón Dillon,First President of the Central Bank,1927-1929
Ecuador,Central Bank of Ecuador,historical,Neptalí Bonifaz Ascázubi,First General Manager,1927-1929
Ecuador,Central Bank of Ecuador,historical,Augusto de la Torre,President of the Monetary Board,1993-1997
Ecuador,Central Bank of Ecuador,historical,Jorge Gallardo Zavala,General Manager,"Multiple periods (e.g., 1992-1997, 2000-2003)"
Ecuador,Central Bank of Ecuador,historical,Pedro Delgado Campaña,General Manager,2011-2012
Ecuador,Central Bank of Ecuador,historical,Verónica Artola Jarrín,General Manager,2017-2021
Ecuador,Central Bank of Ecuador,historical,Guillermo Avellán,General Manager,2021-2023
