country,central_bank,wikipedia_bank_url,source_type,source_label,role,governor_name,start_date,end_date,row_data
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Antônio Carlos Lemgruber (1947–2011),15 March 1985,28 August 1985,"{'No.': '9', 'President': 'Antônio Carlos Lemgruber (1947–2011)', 'Took office': '15\xa0March\xa01985', 'Left office': '28\xa0August\xa01985', 'Time in office': '166\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Fernando Carlos Bracher (1935–2019),28 August 1985,11 February 1987,"{'No.': '10', 'President': 'Fernando Carlos Bracher (1935–2019)', 'Took office': '28\xa0August\xa01985', 'Left office': '11\xa0February\xa01987', 'Time in office': '1\xa0year, 167\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Francisco Gros (1942–2010),11 February 1987,30 April 1987,"{'No.': '11', 'President': 'Francisco Gros (1942–2010)', 'Took office': '11\xa0February\xa01987', 'Left office': '30\xa0April\xa01987', 'Time in office': '78\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Lycio de Faria (born 1929) Acting,30 April 1987,4 May 1987,"{'No.': '–', 'President': 'Lycio de Faria (born 1929) Acting', 'Took office': '30\xa0April\xa01987', 'Left office': '4\xa0May\xa01987', 'Time in office': '4\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Fernando Milliet (born 1942),4 May 1987,9 March 1988,"{'No.': '12', 'President': 'Fernando Milliet (born 1942)', 'Took office': '4\xa0May\xa01987', 'Left office': '9\xa0March\xa01988', 'Time in office': '310\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Elmo de Araújo Camões (1927–2022),9 March 1988,22 June 1989,"{'No.': '13', 'President': 'Elmo de Araújo Camões (1927–2022)', 'Took office': '9\xa0March\xa01988', 'Left office': '22\xa0June\xa01989', 'Time in office': '1\xa0year, 105\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Wadico Waldir Bucchi (born 1951),22 June 1989,15 March 1990,"{'No.': '14', 'President': 'Wadico Waldir Bucchi (born 1951)', 'Took office': '22\xa0June\xa01989', 'Left office': '15\xa0March\xa01990', 'Time in office': '266\xa0days', 'Appointed by': 'José Sarney'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Ibrahim Eris (born 1944),15 March 1990,17 May 1991,"{'No.': '15', 'President': 'Ibrahim Eris (born 1944)', 'Took office': '15\xa0March\xa01990', 'Left office': '17\xa0May\xa01991', 'Time in office': '1\xa0year, 63\xa0days', 'Appointed by': 'Fernando Collor de Mello'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Francisco Gros (1942–2010),17 May 1991,13 November 1992,"{'No.': '16', 'President': 'Francisco Gros (1942–2010)', 'Took office': '17\xa0May\xa01991', 'Left office': '13\xa0November\xa01992', 'Time in office': '1\xa0year, 180\xa0days', 'Appointed by': 'Fernando Collor'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Gustavo Loyola (born 1952),13 November 1992,29 March 1993,"{'No.': '17', 'President': 'Gustavo Loyola (born 1952)', 'Took office': '13\xa0November\xa01992', 'Left office': '29\xa0March\xa01993', 'Time in office': '136\xa0days', 'Appointed by': 'Itamar Franco'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Paulo César Ximenes (born 1943),29 March 1993,9 September 1993,"{'No.': '18', 'President': 'Paulo César Ximenes (born 1943)', 'Took office': '29\xa0March\xa01993', 'Left office': '9\xa0September\xa01993', 'Time in office': '164\xa0days', 'Appointed by': 'Itamar Franco'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Pedro Malan (born 1943),9 September 1993,1 January 1995,"{'No.': '19', 'President': 'Pedro Malan (born 1943)', 'Took office': '9\xa0September\xa01993', 'Left office': '1\xa0January\xa01995', 'Time in office': '1\xa0year, 114\xa0days', 'Appointed by': 'Itamar Franco'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Gustavo Franco (born 1956) Acting,1 January 1995,11 January 1995,"{'No.': '–', 'President': 'Gustavo Franco (born 1956) Acting', 'Took office': '1\xa0January\xa01995', 'Left office': '11\xa0January\xa01995', 'Time in office': '10\xa0days', 'Appointed by': 'Fernando Henrique Cardoso'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Pérsio Arida (born 1952),11 January 1995,13 June 1995,"{'No.': '20', 'President': 'Pérsio Arida (born 1952)', 'Took office': '11\xa0January\xa01995', 'Left office': '13\xa0June\xa01995', 'Time in office': '153\xa0days', 'Appointed by': 'Fernando Henrique Cardoso'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Gustavo Loyola (born 1952),13 June 1995,20 August 1997,"{'No.': '21', 'President': 'Gustavo Loyola (born 1952)', 'Took office': '13\xa0June\xa01995', 'Left office': '20\xa0August\xa01997', 'Time in office': '2\xa0years, 68\xa0days', 'Appointed by': 'Fernando Henrique Cardoso'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Gustavo Franco (born 1956),20 August 1997,4 March 1999,"{'No.': '22', 'President': 'Gustavo Franco (born 1956)', 'Took office': '20\xa0August\xa01997', 'Left office': '4\xa0March\xa01999', 'Time in office': '1\xa0year, 196\xa0days', 'Appointed by': 'Fernando Henrique Cardoso'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Armínio Fraga (born 1957),4 March 1999,1 January 2003,"{'No.': '23', 'President': 'Armínio Fraga (born 1957)', 'Took office': '4\xa0March\xa01999', 'Left office': '1\xa0January\xa02003', 'Time in office': '3\xa0years, 303\xa0days', 'Appointed by': 'Fernando Henrique Cardoso'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Henrique Meirelles (born 1945),1 January 2003,1 January 2011,"{'No.': '24', 'President': 'Henrique Meirelles (born 1945)', 'Took office': '1\xa0January\xa02003', 'Left office': '1\xa0January\xa02011', 'Time in office': '8\xa0years, 0\xa0days', 'Appointed by': 'Luiz Inácio Lula da Silva'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Alexandre Tombini (born 1963),1 January 2011,9 June 2016,"{'No.': '25', 'President': 'Alexandre Tombini (born 1963)', 'Took office': '1\xa0January\xa02011', 'Left office': '9\xa0June\xa02016', 'Time in office': '5\xa0years, 160\xa0days', 'Appointed by': 'Dilma Rousseff'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Ilan Goldfajn (born 1966),9 June 2016,27 February 2019,"{'No.': '26', 'President': 'Ilan Goldfajn (born 1966)', 'Took office': '9\xa0June\xa02016', 'Left office': '27\xa0February\xa02019', 'Time in office': '2\xa0years, 263\xa0days', 'Appointed by': 'Michel Temer'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive,President,Roberto Campos Neto (born 1969),28 February 2019,1 January 2021,"{'No.': '27', 'President': 'Roberto Campos Neto (born 1969)', 'Took office': '28\xa0February\xa02019', 'Left office': '1\xa0January\xa02021', 'Time in office': '1\xa0year, 308\xa0days', 'Appointed by': 'Jair Bolsonaro'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Elected during | Under Autonomous Election,President,Roberto Campos Neto (born 1969),1 January 2021,31 December 2024,"{'No.': '27', 'President': 'Roberto Campos Neto (born 1969)', 'Took office': '1\xa0January\xa02021', 'Left office': '31\xa0December\xa02024', 'Time in office': '3\xa0years, 365\xa0days', 'Elected during': 'Jair Bolsonaro'}"
Brazil,Central Bank of Brazil,https://en.wikipedia.org/wiki/Central_Bank_of_Brazil,wikitable,No. Portrait President Took office Left office Time in office Elected during | Under Autonomous Election,President,Gabriel Galípolo (born 1982),1 January 2025,Incumbent,"{'No.': '28', 'President': 'Gabriel Galípolo (born 1982)', 'Took office': '1\xa0January\xa02025', 'Left office': 'Incumbent', 'Time in office': '1\xa0year, 119\xa0days', 'Elected during': 'Luiz Inácio Lula da Silva'}"
Brunei,Brunei Darussalam Central Bank,https://en.wikipedia.org/wiki/Brunei_Darussalam_Central_Bank,infobox,Chairman,Chair,Khairuddin Abdul Hamid,,,{'Chairman': 'Khairuddin Abdul Hamid'}
Bulgaria,European Central Bank ( Bulgarian National Bank ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Burkina Faso,Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States,infobox,Governor,Governor,Jean-Claude Brou,,,{'Governor': 'Jean-Claude Brou'}
Burundi,Bank of the Republic of Burundi,https://en.wikipedia.org/wiki/Bank_of_the_Republic_of_Burundi,infobox,Governor,Governor,Édouard Normand Bigendako,,,{'Governor': 'Édouard Normand Bigendako'}
Cambodia,National Bank of Cambodia,https://en.wikipedia.org/wiki/National_Bank_of_Cambodia,wikitable,List of governors | No. Name Term | Board of directors,Governor,Son Sann,1955,1969,"{'No.': '1', 'Name': 'Son Sann', 'Term': '1955\xa0– 1969[16]'}"
Cambodia,National Bank of Cambodia,https://en.wikipedia.org/wiki/National_Bank_of_Cambodia,wikitable,List of governors | No. Name Term | Board of directors,Governor,Touch Kim,1969,1970,"{'No.': '2', 'Name': 'Touch Kim', 'Term': '1969\xa0– 1970'}"
Cambodia,National Bank of Cambodia,https://en.wikipedia.org/wiki/National_Bank_of_Cambodia,wikitable,List of governors | No. Name Term | Board of directors,Governor,Hing Kunthel,1970,1972,"{'No.': '3', 'Name': 'Hing Kunthel', 'Term': '1970\xa0– 1972'}"
