country;central_bank;wikipedia_bank_url;source_type;source_label;row_kind;row_data;resolved_row_data
Angola;National Bank of Angola;https://en.wikipedia.org/wiki/National_Bank_of_Angola;infobox;Governor;data;{'Governor': 'Manuel António Tiago Dias'};{'Governor': 'Manuel António Tiago Dias'}
Anguilla;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;data;{'Governor': 'Timothy Antoine'};{'Governor': 'Timothy Antoine'}
Antigua and Barbuda;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;data;{'Governor': 'Timothy Antoine'};{'Governor': 'Timothy Antoine'}
Argentina;Central Bank of Argentina;https://en.wikipedia.org/wiki/Central_Bank_of_Argentina;infobox;President;data;{'President': 'Santiago Bausili'};{'President': 'Santiago Bausili'}
Armenia;Central Bank of Armenia;https://en.wikipedia.org/wiki/Central_Bank_of_Armenia;infobox;Governor;data;{'Governor': 'Martin Galstyan'};{'Governor': 'Martin Galstyan'}
Aruba;Central Bank of Aruba;https://en.wikipedia.org/wiki/Central_Bank_of_Aruba;infobox;President;data;{'President': 'Jeanette R Semeleer'};{'President': 'Jeanette R Semeleer'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;* Died in office | List of Governors;data;{'': '*', '1': 'Died in office'};{'': '*', '1': 'Died in office'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': 'Governors of the Commonwealth Bank of Australia', 'Governor': 'Governors of the Commonwealth Bank of Australia', 'Post-nominals': 'Governors of the Commonwealth Bank of Australia', 'Start': 'Governors of the Commonwealth Bank of Australia', 'End': 'Governors of the Commonwealth Bank of Australia', 'Ref': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 6': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 7': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 8': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 9': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 10': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 11': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 12': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 13': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 14': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 15': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 16': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 17': 'Governors of the Commonwealth Bank of Australia'};{'#': 'Governors of the Commonwealth Bank of Australia', 'Governor': 'Governors of the Commonwealth Bank of Australia', 'Post-nominals': 'Governors of the Commonwealth Bank of Australia', 'Start': 'Governors of the Commonwealth Bank of Australia', 'End': 'Governors of the Commonwealth Bank of Australia', 'Ref': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 6': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 7': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 8': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 9': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 10': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 11': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 12': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 13': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 14': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 15': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 16': 'Governors of the Commonwealth Bank of Australia', 'Unnamed: 17': 'Governors of the Commonwealth Bank of Australia'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '1', 'Governor': 'Denison Miller', 'Post-nominals': 'KCMG', 'Start': 'June 1912', 'End': 'June 1923'};{'#': '1', 'Governor': 'Denison Miller', 'Post-nominals': 'KCMG', 'Start': 'June 1912', 'End': 'June 1923'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '2', 'Governor': 'James Kell', 'Start': 'October 1924', 'End': 'October 1926'};{'#': '2', 'Governor': 'James Kell', 'Start': 'October 1924', 'End': 'October 1926'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '3', 'Governor': 'Sir Ernest Riddle', 'Start': 'October 1926', 'End': 'February 1938'};{'#': '3', 'Governor': 'Sir Ernest Riddle', 'Start': 'October 1926', 'End': 'February 1938'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '4', 'Governor': 'Sir Henry Sheehan', 'Post-nominals': 'CBE', 'Start': 'February 1938', 'End': 'March 1941'};{'#': '4', 'Governor': 'Sir Henry Sheehan', 'Post-nominals': 'CBE', 'Start': 'February 1938', 'End': 'March 1941'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '5', 'Governor': 'Hugh Armitage', 'Post-nominals': 'CMG', 'Start': 'July 1941', 'End': 'December 1948'};{'#': '5', 'Governor': 'Hugh Armitage', 'Post-nominals': 'CMG', 'Start': 'July 1941', 'End': 'December 1948'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '6', 'Governor': 'H. C. Coombs', 'Start': 'January 1949', 'End': 'January 1960'};{'#': '6', 'Governor': 'H. C. Coombs', 'Start': 'January 1949', 'End': 'January 1960'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': 'Governors of the Reserve Bank of Australia', 'Governor': 'Governors of the Reserve Bank of Australia', 'Post-nominals': 'Governors of the Reserve Bank of Australia', 'Start': 'Governors of the Reserve Bank of Australia', 'End': 'Governors of the Reserve Bank of Australia', 'Ref': 'Governors of the Reserve Bank of Australia', 'Unnamed: 6': 'Governors of the Reserve Bank of Australia', 'Unnamed: 7': 'Governors of the Reserve Bank of Australia', 'Unnamed: 8': 'Governors of the Reserve Bank of Australia', 'Unnamed: 9': 'Governors of the Reserve Bank of Australia', 'Unnamed: 10': 'Governors of the Reserve Bank of Australia', 'Unnamed: 11': 'Governors of the Reserve Bank of Australia', 'Unnamed: 12': 'Governors of the Reserve Bank of Australia', 'Unnamed: 13': 'Governors of the Reserve Bank of Australia', 'Unnamed: 14': 'Governors of the Reserve Bank of Australia', 'Unnamed: 15': 'Governors of the Reserve Bank of Australia', 'Unnamed: 16': 'Governors of the Reserve Bank of Australia', 'Unnamed: 17': 'Governors of the Reserve Bank of Australia'};{'#': 'Governors of the Reserve Bank of Australia', 'Governor': 'Governors of the Reserve Bank of Australia', 'Post-nominals': 'Governors of the Reserve Bank of Australia', 'Start': 'Governors of the Reserve Bank of Australia', 'End': 'Governors of the Reserve Bank of Australia', 'Ref': 'Governors of the Reserve Bank of Australia', 'Unnamed: 6': 'Governors of the Reserve Bank of Australia', 'Unnamed: 7': 'Governors of the Reserve Bank of Australia', 'Unnamed: 8': 'Governors of the Reserve Bank of Australia', 'Unnamed: 9': 'Governors of the Reserve Bank of Australia', 'Unnamed: 10': 'Governors of the Reserve Bank of Australia', 'Unnamed: 11': 'Governors of the Reserve Bank of Australia', 'Unnamed: 12': 'Governors of the Reserve Bank of Australia', 'Unnamed: 13': 'Governors of the Reserve Bank of Australia', 'Unnamed: 14': 'Governors of the Reserve Bank of Australia', 'Unnamed: 15': 'Governors of the Reserve Bank of Australia', 'Unnamed: 16': 'Governors of the Reserve Bank of Australia', 'Unnamed: 17': 'Governors of the Reserve Bank of Australia'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '1', 'Governor': 'H. C. Coombs', 'Start': 'January 1960', 'End': 'July 1968'};{'#': '1', 'Governor': 'H. C. Coombs', 'Start': 'January 1960', 'End': 'July 1968'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '2', 'Governor': 'Sir J. G. Phillips', 'Post-nominals': 'KBE', 'Start': 'July 1968', 'End': 'July 1975'};{'#': '2', 'Governor': 'Sir J. G. Phillips', 'Post-nominals': 'KBE', 'Start': 'July 1968', 'End': 'July 1975'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '3', 'Governor': 'Sir H. M. Knight', 'Post-nominals': 'KBE, DSC', 'Start': 'July 1975', 'End': 'August 1982'};{'#': '3', 'Governor': 'Sir H. M. Knight', 'Post-nominals': 'KBE, DSC', 'Start': 'July 1975', 'End': 'August 1982'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '4', 'Governor': 'Bob Johnston', 'Post-nominals': 'AC', 'Start': 'August 1982', 'End': 'July 1989'};{'#': '4', 'Governor': 'Bob Johnston', 'Post-nominals': 'AC', 'Start': 'August 1982', 'End': 'July 1989'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '5', 'Governor': 'Bernie Fraser', 'Start': 'September 1989', 'End': 'September 1996'};{'#': '5', 'Governor': 'Bernie Fraser', 'Start': 'September 1989', 'End': 'September 1996'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '6', 'Governor': 'Ian Macfarlane', 'Post-nominals': 'AC', 'Start': 'September 1996', 'End': 'September 2006'};{'#': '6', 'Governor': 'Ian Macfarlane', 'Post-nominals': 'AC', 'Start': 'September 1996', 'End': 'September 2006'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '7', 'Governor': 'Glenn Stevens', 'Post-nominals': 'AC', 'Start': '18 September 2006', 'End': '17 September 2016'};{'#': '7', 'Governor': 'Glenn Stevens', 'Post-nominals': 'AC', 'Start': '18 September 2006', 'End': '17 September 2016'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '8', 'Governor': 'Philip Lowe', 'Start': '18 September 2016', 'End': '17 September 2023'};{'#': '8', 'Governor': 'Philip Lowe', 'Start': '18 September 2016', 'End': '17 September 2023'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;data;{'#': '9', 'Governor': 'Michele Bullock', 'Start': '18 September 2023'};{'#': '9', 'Governor': 'Michele Bullock', 'Start': '18 September 2023'}
Austria;European Central Bank ( Oesterreichische Nationalbank );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;data;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'};{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;data;{'Name': 'Cavanşir Abdullayev', 'Took office': '1992', 'Left office': '1993'};{'Name': 'Cavanşir Abdullayev', 'Took office': '1992', 'Left office': '1993'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;data;{'Name': 'Qalib Ağayev', 'Took office': '1993', 'Left office': '1994'};{'Name': 'Qalib Ağayev', 'Took office': '1993', 'Left office': '1994'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;data;{'Name': 'Elman Rustamov', 'Took office': 'January 1995', 'Left office': 'April 2022'};{'Name': 'Elman Rustamov', 'Took office': 'January 1995', 'Left office': 'April 2022'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;data;{'Name': 'Taleh Kazimov', 'Took office': 'April 2022', 'Left office': 'Incumbent'};{'Name': 'Taleh Kazimov', 'Took office': 'April 2022', 'Left office': 'Incumbent'}
Bahamas;Central Bank of The Bahamas;https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas;infobox;Governor;data;{'Governor': 'John A Rolle'};{'Governor': 'John A Rolle'}
Bahrain;Central Bank of Bahrain;https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain;infobox;Key people;data;{'Key people': 'Khalid Humaidan , Governor'};{'Key people': 'Khalid Humaidan , Governor'}
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Governor;data;{'Governor': 'Md Mostaqur Rahman'};{'Governor': 'Md Mostaqur Rahman'}
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Key people;data;{'Key people': 'Nurun Nahar ( Deputy Governor ) Dr. Md. Habibur Rahman ( Deputy Governor ) Md. Zakir Hossain Chowdhury ( Deputy Governor ) Dr. Md. Kabir Ahmed ( Deputy Governor )'};{'Key people': 'Nurun Nahar ( Deputy Governor ) Dr. Md. Habibur Rahman ( Deputy Governor ) Md. Zakir Hossain Chowdhury ( Deputy Governor ) Dr. Md. Kabir Ahmed ( Deputy Governor )'}
Barbados;Central Bank of Barbados;https://en.wikipedia.org/wiki/Central_Bank_of_Barbados;infobox;Governor;data;{'Governor': 'Kevin Greenidge'};{'Governor': 'Kevin Greenidge'}
Belarus;National Bank of the Republic of Belarus;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus;infobox;Chairman;data;{'Chairman': 'Roman Golovchenko'};{'Chairman': 'Roman Golovchenko'}
Belgium;European Central Bank ( National Bank of Belgium );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;data;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'};{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Belize;Central Bank of Belize;https://en.wikipedia.org/wiki/Central_Bank_of_Belize;infobox;Governor;data;{'Governor': 'Kareem Michael'};{'Governor': 'Kareem Michael'}
Benin;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;infobox;Governor;data;{'Governor': 'Jean-Claude Brou'};{'Governor': 'Jean-Claude Brou'}
Bermuda;Bermuda Monetary Authority;https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority;infobox;Chairman;data;{'Chairman': 'Donald Scott'};{'Chairman': 'Donald Scott'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Deputy Governor', '1': 'Ms. Ugyen Choden'};{'': 'Deputy Governor', '1': 'Ms. Ugyen Choden'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Director, Department of Internal Audit', '1': 'Mr. Kelang Jurmey'};{'': 'Director, Department of Internal Audit', '1': 'Mr. Kelang Jurmey'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Executive Director, Department of Foreign Exchange & Reserve Management', '1': 'Ms. Gopi Nepal'};{'': 'Executive Director, Department of Foreign Exchange & Reserve Management', '1': 'Ms. Gopi Nepal'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Executive Director, Department of Treasury & Corporate Services', '1': 'Ms. Tshering Dema'};{'': 'Executive Director, Department of Treasury & Corporate Services', '1': 'Ms. Tshering Dema'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Director, Financial Intelligence Department', '1': 'Mr. Tashi Gyeltshen'};{'': 'Director, Financial Intelligence Department', '1': 'Mr. Tashi Gyeltshen'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Director, Department of Technology and Innovation', '1': 'Mr. Sherab Jamtsho'};{'': 'Director, Department of Technology and Innovation', '1': 'Mr. Sherab Jamtsho'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Director, Macroeconomic Research & Statistics Department', '1': 'Mr. Sonam Tobgay'};{'': 'Director, Macroeconomic Research & Statistics Department', '1': 'Mr. Sonam Tobgay'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Officiating Director, Department of Financial Regulation & Supervision', '1': 'Mr. Shankar Chhetri'};{'': 'Officiating Director, Department of Financial Regulation & Supervision', '1': 'Mr. Shankar Chhetri'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Officiating Director, Department of Payment & Settlement Systems', '1': 'Mr. Sonam Tobgay Tshering'};{'': 'Officiating Director, Department of Payment & Settlement Systems', '1': 'Mr. Sonam Tobgay Tshering'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Executive Director, Department of Currency Management', '1': 'Mr. Dophu Dorji'};{'': 'Executive Director, Department of Currency Management', '1': 'Mr. Dophu Dorji'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;data;{'': 'Officiating Director, Regional Office, Phuntsholing', '1': 'Mr. Sangay Paljor'};{'': 'Officiating Director, Regional Office, Phuntsholing', '1': 'Mr. Sangay Paljor'}
Bolivia;Central Bank of Bolivia;https://en.wikipedia.org/wiki/Central_Bank_of_Bolivia;infobox;President;data;{'President': 'Roger Edwin Rojas Ulo'};{'President': 'Roger Edwin Rojas Ulo'}
Bosnia and Herzegovina;Central Bank of Bosnia and Herzegovina;https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina;infobox;Governor;data;{'Governor': 'Jasmina Selimović'};{'Governor': 'Jasmina Selimović'}
Botswana;Bank of Botswana;https://en.wikipedia.org/wiki/Bank_of_Botswana;infobox;Governor;data;{'Governor': 'Cornelius Karlens Dekop'};{'Governor': 'Cornelius Karlens Dekop'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'No.': '1', 'President': 'Dênio Chagas Nogueira (1920–1997)', 'Took office': '12 April 1965', 'Left office': '21 March 1967', 'Time in office': '1 year, 343 days', 'Appointed by': 'Castelo Branco'};{'No.': '1', 'President': 'Dênio Chagas Nogueira (1920–1997)', 'Took office': '12 April 1965', 'Left office': '21 March 1967', 'Time in office': '1 year, 343 days', 'Appointed by': 'Castelo Branco'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'No.': '2', 'President': 'Rui Aguiar da Silva Leme (1925–1997)', 'Took office': '31 March 1967', 'Left office': '12 February 1968', 'Time in office': '318 days', 'Appointed by': 'Costa e Silva'};{'No.': '2', 'President': 'Rui Aguiar da Silva Leme (1925–1997)', 'Took office': '31 March 1967', 'Left office': '12 February 1968', 'Time in office': '318 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'President': 'Ary Burger (1921–2010) Acting', 'Took office': '12 February 1968', 'Left office': '20 February 1968', 'Time in office': '8 days', 'Appointed by': 'Costa e Silva'};{'President': 'Ary Burger (1921–2010) Acting', 'Took office': '12 February 1968', 'Left office': '20 February 1968', 'Time in office': '8 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'No.': '3', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '20 February 1968', 'Left office': '15 March 1974', 'Time in office': '6 years, 23 days', 'Appointed by': 'Costa e Silva'};{'No.': '3', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '20 February 1968', 'Left office': '15 March 1974', 'Time in office': '6 years, 23 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'No.': '4', 'President': 'Paulo Hortêncio Pereira Lima (born 1930)', 'Took office': '15 March 1974', 'Left office': '15 March 1979', 'Time in office': '5 years, 0 days', 'Appointed by': 'Ernesto Geisel'};{'No.': '4', 'President': 'Paulo Hortêncio Pereira Lima (born 1930)', 'Took office': '15 March 1974', 'Left office': '15 March 1979', 'Time in office': '5 years, 0 days', 'Appointed by': 'Ernesto Geisel'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;data;{'No.': '5', 'President': 'Carlos Brandão (1928–2016)', 'Took office': '15 March 1979', 'Left office': '17 August 1979', 'Time in office': '155 days', 'Appointed by': 'João Figueiredo'};{'No.': '5', 'President': 'Carlos Brandão (1928–2016)', 'Took office': '15 March 1979', 'Left office': '17 August 1979', 'Time in office': '155 days', 'Appointed by': 'João Figueiredo'}
