country;central_bank;wikipedia_bank_url;source_type;source_label;row_data
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '6', 'Governor': 'H. C. Coombs', 'Post-nominals': 'nan', 'Start': 'January 1949', 'End': 'January 1960', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': 'Governors of the Reserve Bank of Australia', 'Governor': 'Governors of the Reserve Bank of Australia', 'Post-nominals': 'Governors of the Reserve Bank of Australia', 'Start': 'Governors of the Reserve Bank of Australia', 'End': 'Governors of the Reserve Bank of Australia', 'Ref': 'Governors of the Reserve Bank of Australia', 'Unnamed: 6': 'Governors of the Reserve Bank of Australia', 'Unnamed: 7': 'Governors of the Reserve Bank of Australia', 'Unnamed: 8': 'Governors of the Reserve Bank of Australia', 'Unnamed: 9': 'Governors of the Reserve Bank of Australia', 'Unnamed: 10': 'Governors of the Reserve Bank of Australia', 'Unnamed: 11': 'Governors of the Reserve Bank of Australia', 'Unnamed: 12': 'Governors of the Reserve Bank of Australia', 'Unnamed: 13': 'Governors of the Reserve Bank of Australia', 'Unnamed: 14': 'Governors of the Reserve Bank of Australia', 'Unnamed: 15': 'Governors of the Reserve Bank of Australia', 'Unnamed: 16': 'Governors of the Reserve Bank of Australia', 'Unnamed: 17': 'Governors of the Reserve Bank of Australia'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '1', 'Governor': 'H. C. Coombs', 'Post-nominals': 'nan', 'Start': 'January 1960', 'End': 'July 1968', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '2', 'Governor': 'Sir J. G. Phillips', 'Post-nominals': 'KBE', 'Start': 'July 1968', 'End': 'July 1975', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '3', 'Governor': 'Sir H. M. Knight', 'Post-nominals': 'KBE, DSC', 'Start': 'July 1975', 'End': 'August 1982', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '4', 'Governor': 'Bob Johnston', 'Post-nominals': 'AC', 'Start': 'August 1982', 'End': 'July 1989', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '5', 'Governor': 'Bernie Fraser', 'Post-nominals': 'nan', 'Start': 'September 1989', 'End': 'September 1996', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '6', 'Governor': 'Ian Macfarlane', 'Post-nominals': 'AC', 'Start': 'September 1996', 'End': 'September 2006', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '7', 'Governor': 'Glenn Stevens', 'Post-nominals': 'AC', 'Start': '18 September 2006', 'End': '17 September 2016', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '8', 'Governor': 'Philip Lowe', 'Post-nominals': 'nan', 'Start': '18 September 2016', 'End': '17 September 2023', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Australia;Reserve Bank of Australia;https://en.wikipedia.org/wiki/Reserve_Bank_of_Australia;wikitable;# Governor Post-nominals Start End Ref | List of Governors;{'#': '9', 'Governor': 'Michele Bullock', 'Post-nominals': 'nan', 'Start': '18 September 2023', 'Unnamed: 6': 'nan', 'Unnamed: 7': 'nan', 'Unnamed: 8': 'nan', 'Unnamed: 9': 'nan', 'Unnamed: 10': 'nan', 'Unnamed: 11': 'nan', 'Unnamed: 12': 'nan', 'Unnamed: 13': 'nan', 'Unnamed: 14': 'nan', 'Unnamed: 15': 'nan', 'Unnamed: 16': 'nan', 'Unnamed: 17': 'nan'}
Austria;European Central Bank ( Oesterreichische Nationalbank );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;{'Name': 'Cavanşir Abdullayev', 'Took office': '1992', 'Left office': '1993'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;{'Name': 'Qalib Ağayev', 'Took office': '1993', 'Left office': '1994'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;{'Name': 'Elman Rustamov', 'Took office': 'January 1995', 'Left office': 'April 2022'}
Azerbaijan;Central Bank of Azerbaijan;https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan;wikitable;Name Took office Left office Notes | Governors;{'Name': 'Taleh Kazimov', 'Took office': 'April 2022', 'Left office': 'Incumbent'}
Bahamas;Central Bank of The Bahamas;https://en.wikipedia.org/wiki/Central_Bank_of_The_Bahamas;infobox;Governor;{'Governor': 'John A Rolle'}
Bahrain;Central Bank of Bahrain;https://en.wikipedia.org/wiki/Central_Bank_of_Bahrain;infobox;Key people;{'Key people': 'Khalid Humaidan , Governor'}
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Governor;{'Governor': 'Md Mostaqur Rahman'}
Bangladesh;Bangladesh Bank;https://en.wikipedia.org/wiki/Bangladesh_Bank;infobox;Key people;{'Key people': 'Nurun Nahar ( Deputy Governor ) Dr. Md. Habibur Rahman ( Deputy Governor ) Md. Zakir Hossain Chowdhury ( Deputy Governor ) Dr. Md. Kabir Ahmed ( Deputy Governor )'}
Barbados;Central Bank of Barbados;https://en.wikipedia.org/wiki/Central_Bank_of_Barbados;infobox;Governor;{'Governor': 'Kevin Greenidge'}
Belarus;National Bank of the Republic of Belarus;https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus;infobox;Chairman;{'Chairman': 'Roman Golovchenko'}
Belgium;European Central Bank ( National Bank of Belgium );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Belize;Central Bank of Belize;https://en.wikipedia.org/wiki/Central_Bank_of_Belize;infobox;Governor;{'Governor': 'Kareem Michael'}
Benin;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;infobox;Governor;{'Governor': 'Jean-Claude Brou'}
Bermuda;Bermuda Monetary Authority;https://en.wikipedia.org/wiki/Bermuda_Monetary_Authority;infobox;Chairman;{'Chairman': 'Donald Scott'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Deputy Governor', '1': 'Ms. Ugyen Choden'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Director, Department of Internal Audit', '1': 'Mr. Kelang Jurmey'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Executive Director, Department of Foreign Exchange & Reserve Management', '1': 'Ms. Gopi Nepal'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Executive Director, Department of Treasury & Corporate Services', '1': 'Ms. Tshering Dema'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Director, Financial Intelligence Department', '1': 'Mr. Tashi Gyeltshen'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Director, Department of Technology and Innovation', '1': 'Mr. Sherab Jamtsho'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Director, Macroeconomic Research & Statistics Department', '1': 'Mr. Sonam Tobgay'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Officiating Director, Department of Financial Regulation & Supervision', '1': 'Mr. Shankar Chhetri'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Officiating Director, Department of Payment & Settlement Systems', '1': 'Mr. Sonam Tobgay Tshering'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Executive Director, Department of Currency Management', '1': 'Mr. Dophu Dorji'}
Bhutan;Royal Monetary Authority of Bhutan;https://en.wikipedia.org/wiki/Royal_Monetary_Authority_of_Bhutan;wikitable;Deputy Governor Ms. Ugyen Choden | Other key people;{'': 'Officiating Director, Regional Office, Phuntsholing', '1': 'Mr. Sangay Paljor'}
Bolivia;Central Bank of Bolivia;https://en.wikipedia.org/wiki/Central_Bank_of_Bolivia;infobox;President;{'President': 'Roger Edwin Rojas Ulo'}
Bosnia and Herzegovina;Central Bank of Bosnia and Herzegovina;https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina;infobox;Governor;{'Governor': 'Jasmina Selimović'}
Botswana;Bank of Botswana;https://en.wikipedia.org/wiki/Bank_of_Botswana;infobox;Governor;{'Governor': 'Cornelius Karlens Dekop'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '1', 'Portrait': 'nan', 'President': 'Dênio Chagas Nogueira (1920–1997)', 'Took office': '12 April 1965', 'Left office': '21 March 1967', 'Time in office': '1 year, 343 days', 'Appointed by': 'Castelo Branco'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '2', 'Portrait': 'nan', 'President': 'Rui Aguiar da Silva Leme (1925–1997)', 'Took office': '31 March 1967', 'Left office': '12 February 1968', 'Time in office': '318 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'Portrait': 'nan', 'President': 'Ary Burger (1921–2010) Acting', 'Took office': '12 February 1968', 'Left office': '20 February 1968', 'Time in office': '8 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '3', 'Portrait': 'nan', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '20 February 1968', 'Left office': '15 March 1974', 'Time in office': '6 years, 23 days', 'Appointed by': 'Costa e Silva'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '4', 'Portrait': 'nan', 'President': 'Paulo Hortêncio Pereira Lima (born 1930)', 'Took office': '15 March 1974', 'Left office': '15 March 1979', 'Time in office': '5 years, 0 days', 'Appointed by': 'Ernesto Geisel'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '5', 'Portrait': 'nan', 'President': 'Carlos Brandão (1928–2016)', 'Took office': '15 March 1979', 'Left office': '17 August 1979', 'Time in office': '155 days', 'Appointed by': 'João Figueiredo'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '6', 'Portrait': 'nan', 'President': 'Ernane Galvêas (1922–2022)', 'Took office': '17 August 1979', 'Left office': '18 January 1980', 'Time in office': '154 days', 'Appointed by': 'João Figueiredo'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '7', 'Portrait': 'nan', 'President': 'Carlos Geraldo Langoni (1944–2021)', 'Took office': '18 January 1980', 'Left office': '5 September 1983', 'Time in office': '3 years, 230 days', 'Appointed by': 'João Figueiredo'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '8', 'Portrait': 'nan', 'President': 'Affonso Celso Pastore (1939–2024)', 'Took office': '5 September 1983', 'Left office': '15 March 1985', 'Time in office': '1 year, 191 days', 'Appointed by': 'João Figueiredo'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '9', 'Portrait': 'nan', 'President': 'Antônio Carlos Lemgruber (1947–2011)', 'Took office': '15 March 1985', 'Left office': '28 August 1985', 'Time in office': '166 days', 'Appointed by': 'José Sarney'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '10', 'Portrait': 'nan', 'President': 'Fernando Carlos Bracher (1935–2019)', 'Took office': '28 August 1985', 'Left office': '11 February 1987', 'Time in office': '1 year, 167 days', 'Appointed by': 'José Sarney'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'No.': '11', 'Portrait': 'nan', 'President': 'Francisco Gros (1942–2010)', 'Took office': '11 February 1987', 'Left office': '30 April 1987', 'Time in office': '78 days', 'Appointed by': 'José Sarney'}
Brazil;Central Bank of Brazil;https://en.wikipedia.org/wiki/Central_Bank_of_Brazil;wikitable;No. Portrait President Took office Left office Time in office Appointed by | Appointed by the Executive;{'Portrait': 'nan', 'President': 'Lycio de Faria (born 1929) Acting', 'Took office': '30 April 1987', 'Left office': '4 May 1987', 'Time in office': '4 days', 'Appointed by': 'José Sarney'}
