country,central_bank_name,status,name,role,period
Dominican Republic,Central Bank of the Dominican Republic,historical,Héctor Valdez Albizu,Governor of the Central Bank,1994-2000
Dominican Republic,Central Bank of the Dominican Republic,historical,Frank Guerrero Prats,Governor of the Central Bank,2000-2004
Ecuador,Central Bank of Ecuador,current,Guillermo Avellán Solís,Presidente del Directorio,2021-present
Ecuador,Central Bank of Ecuador,current,Patricio Rivera Yánez,Miembro del Directorio,2021-present
Ecuador,Central Bank of Ecuador,current,Verónica Gallardo Cárdenas,Miembro del Directorio,2021-present
Ecuador,Central Bank of Ecuador,current,Marco Antonio Varea Reinoso,Miembro del Directorio,2021-present
Ecuador,Central Bank of Ecuador,current,Verónica Artola Jarrín,Gerente General,2017-present
Ecuador,Central Bank of Ecuador,historical,Diego Martínez Vinueza,Gerente General,2016-2017
Ecuador,Central Bank of Ecuador,historical,Mateo Villalba de la Cadena,Gerente General,2014-2016
Ecuador,Central Bank of Ecuador,historical,Pedro Delgado Campaña,Gerente General,2011-2012
Ecuador,Central Bank of Ecuador,historical,Augusto de la Torre,Gerente General,1998-2000
Ecuador,Central Bank of Ecuador,historical,Jaime Nebot Velasco,Gerente General,1948-1960
Ecuador,Central Bank of Ecuador,historical,Luis Napoleón Dillon,Gerente General,1927-1948
El Salvador,Central Reserve Bank of El Salvador,current,Douglas Pablo Rodríguez Fuentes,President,2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,Hazel Gafney Escrich,Vice President,2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,José Roberto Solórzano Mendoza,Director (Representative of Ministry of Finance),2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,Carlos Federico Paredes Castillo,Director (Representative of Ministry of Economy),2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,José Guillermo Díaz Rodríguez,Director (Representative of Salvadoran Banking Association),2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,José Mauricio Choussy Rusconi,Director (Representative of Salvadoran Association of Industrialists),2019-Present
El Salvador,Central Reserve Bank of El Salvador,current,José Francisco Merino López,Director (Representative of National Association of Private Enterprise),2019-Present
El Salvador,Central Reserve Bank of El Salvador,historical,Oscar Cabrera Melgar,President,2014-2019
El Salvador,Central Reserve Bank of El Salvador,historical,Carlos Acevedo,President,2009-2014
El Salvador,Central Reserve Bank of El Salvador,historical,Luz María Serpas de Portillo,President,2004-2009
El Salvador,Central Reserve Bank of El Salvador,historical,Rafael Barraza,President,1999-2004
El Salvador,Central Reserve Bank of El Salvador,historical,Roberto Orellana Milla,President,1994-1999
El Salvador,Central Reserve Bank of El Salvador,historical,José Roberto López,President,1993-1994
El Salvador,Central Reserve Bank of El Salvador,historical,Ricardo Orellana Valdés,President,1989-1993
El Salvador,Central Reserve Bank of El Salvador,historical,José Francisco Guerrero,President,1985-1989
El Salvador,Central Reserve Bank of El Salvador,historical,Alberto Benítez Bonilla,President,1980-1985
El Salvador,Central Reserve Bank of El Salvador,historical,Pedro Abelardo Delgado,President,1979-1980
El Salvador,Central Reserve Bank of El Salvador,historical,Gustavo Adolfo Guerrero,President,1977-1979
El Salvador,Central Reserve Bank of El Salvador,historical,Rigoberto Antonio Martínez,President,1972-1977
El Salvador,Central Reserve Bank of El Salvador,historical,Guillermo Hidalgo Quehl,President,1961-1972
El Salvador,Central Reserve Bank of El Salvador,historical,Alfonso Rochac,President,1950-1961
El Salvador,Central Reserve Bank of El Salvador,historical,Manuel Antonio de Jesús Chacón,President,1944-1950
El Salvador,Central Reserve Bank of El Salvador,historical,Luis Escalante Arce,President,1934-1944
Guatemala,Bank of Guatemala,current,José Alfredo Blanco Valdés,Presidente de la Junta Directiva y Presidente del Banco de Guatemala,2022-2026
Guatemala,Bank of Guatemala,current,Brenda Marleny Izquierdo García,Vicepresidente de la Junta Directiva y Vicepresidente del Banco de Guatemala,2022-2026
Guatemala,Bank of Guatemala,current,Sergio Francisco Recinos Rivera,Vocal I de la Junta Directiva,2022-2026
Guatemala,Bank of Guatemala,current,Lizardo Arturo Sosa López,Vocal II de la Junta Directiva,2022-2026
Guatemala,Bank of Guatemala,current,Edwin Giovanni Verbena Amado,Vocal III de la Junta Directiva,2022-2026
Guatemala,Bank of Guatemala,current,José Alejandro Arévalo Alburez,Vocal IV de la Junta Directiva,2022-2026
Guatemala,Bank of Guatemala,current,José Flavio Rodas Estrada,Vocal V de la Junta Directiva,2022-2026
Guatemala,Bank of Guatemala,historical,Manuel Noriega Morales,Presidente,1946-1954
Guatemala,Bank of Guatemala,historical,Lizardo Arturo Sosa López,Presidente,1989-1990
Guatemala,Bank of Guatemala,historical,María Antonieta del Cid de Bonilla,Presidente,2006-2010
Guatemala,Bank of Guatemala,historical,Sergio Francisco Recinos Rivera,Presidente,2018-2022
Haiti,Bank of the Republic of Haiti,current,Ronald Gabriel,Governor,2023-present
Haiti,Bank of the Republic of Haiti,current,Georges Henry,Vice-Governor,2023-present
Haiti,Bank of the Republic of Haiti,current,Jean Baden Dubois,Member of the Board,2023-present
Haiti,Bank of the Republic of Haiti,current,Florimond D. Jean-Pierre,Member of the Board,2017-present
Haiti,Bank of the Republic of Haiti,current,Georgette Jean-Louis,Member of the Board,2017-present
Haiti,Bank of the Republic of Haiti,historical,Jean Baden Dubois,Governor,2015-2023
Haiti,Bank of the Republic of Haiti,historical,Charles Castel,Governor,2007-2015
Haiti,Bank of the Republic of Haiti,historical,Fritz Jean,Governor,1996-2001
Haiti,Bank of the Republic of Haiti,historical,Leslie Delatour,Governor,1986-1989
Honduras,Central Bank of Honduras,current,Rebeca Patricia Santos Rivera,President,2023-2027
Honduras,Central Bank of Honduras,current,Carlos Gustavo Barahona Rodríguez,Vice President,2022-2027
Honduras,Central Bank of Honduras,current,Ricardo Javier Sierra Cruz,Director,2022-2027
Honduras,Central Bank of Honduras,current,Julio César Antúnez,Director,2022-2027
Honduras,Central Bank of Honduras,current,Andrea Isabel Hernández,Director,2022-2027
Honduras,Central Bank of Honduras,historical,Rixi Moncada,President,2022-2023
Honduras,Central Bank of Honduras,historical,Wilfredo Cerrato,President,2018-2022
Honduras,Central Bank of Honduras,historical,Manuel Bautista,President,2014-2018
Honduras,Central Bank of Honduras,historical,Jorge Alberto Alvarado,President,2010-2014
Honduras,Central Bank of Honduras,historical,Edwin Araque,President,2006-2010
Honduras,Central Bank of Honduras,historical,María Elena Mondragón,President,2002-2006
Honduras,Central Bank of Honduras,historical,Emin Barjum,President,1998-2002
Honduras,Central Bank of Honduras,historical,Hugo Noé Pino,President,1994-1998
Honduras,Central Bank of Honduras,historical,Ricardo Maduro,President,1990-1994
Honduras,Central Bank of Honduras,historical,Gonzalo Carías,President,1986-1990
Honduras,Central Bank of Honduras,historical,Manuel Fontecha Ferrari,President,1982-1986
Honduras,Central Bank of Honduras,historical,Alberto Galeano Madrid,President,1972-1979
Honduras,Central Bank of Honduras,historical,Alfonso Rochac,President,1971-1972
Honduras,Central Bank of Honduras,historical,Roberto Ramírez,President,1965-1971
Honduras,Central Bank of Honduras,historical,Guillermo Bueso,President,1958-1965
Mexico,Bank of Mexico,current,Victoria Rodríguez Ceja,Governor,"January 1, 2022 - December 31, 2027"
Mexico,Bank of Mexico,current,Jonathan Heath,Deputy Governor,"January 1, 2019 - December 31, 2026"
Mexico,Bank of Mexico,current,Galia Borja Gómez,Deputy Governor,"January 1, 2021 - December 31, 2028"
Mexico,Bank of Mexico,current,Omar Mejía Castelazo,Deputy Governor,"January 1, 2023 - December 31, 2030"
Mexico,Bank of Mexico,current,Elizabetta Grillo,Deputy Governor,"May 1, 2024 - December 31, 2031"
Mexico,Bank of Mexico,historical,Alejandro Díaz de León Carrillo,Governor,"December 1, 2017 - December 31, 2021"
Mexico,Bank of Mexico,historical,Agustín Carstens Carstens,Governor,"January 1, 2010 - November 30, 2017"
Mexico,Bank of Mexico,historical,Guillermo Ortiz Martínez,Governor,"January 1, 1998 - December 31, 2009"
Mexico,Bank of Mexico,historical,Miguel Mancera Aguayo,Governor,"September 1, 1982 - December 31, 1997"
Mexico,Bank of Mexico,historical,Gerardo Esquivel Hernández,Deputy Governor,"January 24, 2019 - December 31, 2022"
Mexico,Bank of Mexico,historical,Irene Espinosa Cantellano,Deputy Governor,"January 1, 2018 - December 31, 2023"
Mexico,Bank of Mexico,historical,Javier Guzmán Calafell,Deputy Governor,"January 1, 2013 - December 31, 2020"
Mexico,Bank of Mexico,historical,Manuel Ramos Francia,Deputy Governor,"April 1, 2011 - December 31, 2018"
Mexico,Bank of Mexico,historical,Roberto del Cueto Legaspi,Deputy Governor,"January 1, 2007 - November 28, 2018"
Mexico,Bank of Mexico,historical,José Sidaoui Dib,Deputy Governor,"January 1, 2007 - December 31, 2014"
Mexico,Bank of Mexico,historical,Manuel Sánchez González,Deputy Governor,"April 1, 2009 - December 31, 2016"
Uruguay,Central Bank of Uruguay,current,Diego Labat,Presidente,since March 2020
Uruguay,Central Bank of Uruguay,current,Washington Ribeiro,Vicepresidente,since March 2020
Uruguay,Central Bank of Uruguay,current,Jorge Peirano,Director,since March 2020
Uruguay,Central Bank of Uruguay,historical,Alberto Graña,Presidente,March 2015 - March 2020
Uruguay,Central Bank of Uruguay,historical,Mario Bergara,Presidente,July 2014 - March 2015
Uruguay,Central Bank of Uruguay,historical,Fernando Lorenzo,Presidente,July 2010 - July 2014
Uruguay,Central Bank of Uruguay,historical,Walter Cancela,Presidente,March 2005 - March 2008
Uruguay,Central Bank of Uruguay,historical,Isaac Alfie,Presidente,July 2003 - March 2005
Uruguay,Central Bank of Uruguay,historical,Julio de Brun,Presidente,March 2002 - July 2003
